email,matricola,nome,cognome
mario.rossi@studenti.poliba.it,810023,Mario,Rossi
giulia.verdi@studenti.poliba.it,810024,Giulia,Verdi
francesco.esposito@studenti.poliba.it,810025,Francesco,Esposito
chiara.bianchi@studenti.poliba.it,810026,Chiara,Bianchi
alessandro.romano@studenti.poliba.it,810027,Alessandro,Romano
martina.colombo@studenti.poliba.it,810028,Martina,Colombo
lorenzo.ricci@studenti.poliba.it,810029,Lorenzo,Ricci
sara.ferrari@studenti.poliba.it,810030,Sara,Ferrari
davide.marino@studenti.poliba.it,810031,Davide,Marino
francesca.greco@studenti.poliba.it,810032,Francesca,Greco
simone.bruno@studenti.poliba.it,810033,Simone,Bruno
alice.gallo@studenti.poliba.it,810034,Alice,Gallo
federico.conti@studenti.poliba.it,810035,Federico,Conti
valentina.de_luca@studenti.poliba.it,810036,Valentina,De Luca
gabriele.mancini@studenti.poliba.it,810037,Gabriele,Mancini
elena.costa@studenti.poliba.it,810038,Elena,Costa
andrea.giordano@studenti.poliba.it,810039,Andrea,Giordano
beatrice.rizzo@studenti.poliba.it,810040,Beatrice,Rizzo
marco.rossi@studenti.poliba.it,810041,Marco,Rossi
silvia.moretti@studenti.poliba.it,810042,Silvia,Moretti
riccardo.costa@studenti.poliba.it,702778,Riccardo,Costa
matilde.giordano@studenti.poliba.it,709111,Matilde,Giordano
tommaso.rizzo@studenti.poliba.it,704222,Tommaso,Rizzo
ludovica.lombardi@studenti.poliba.it,707333,Ludovica,Lombardi
federico.moretti@studenti.poliba.it,708444,Federico,Moretti
